No.,Hand,Combos,Marginal,Paired,Suited,Connectedness,UTG,HJ,CO,BTN,UTG_Advice,HJ_Advice,CO Advice,BTN_Advice
152,63s,4,Yes,No,Yes,2-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
153,62s,4,No,No,Yes,3-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
154,65o,12,Yes,No,No,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
155,64o,12,No,No,No,1-Gap,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
156,63o,12,No,No,No,2-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
157,62o,12,No,No,No,3-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
158,54s,4,Yes,No,Yes,Connected,MIXED_FOLD_RAISE,MIXED_FOLD_RAISE,RAISE,RAISE,We recommend playing this hand with a mixed strategy from UTG. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,We recommend playing this hand with a mixed strategy from HJ. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.,This hand is strong enough to open to 2.25 big blinds from CO. Opening this hand will give you +EV in the long run.,This hand is strong enough to open to 2.25 big blinds from the button. Opening this hand will give you +EV in the long run.
159,53s,4,Yes,No,Yes,1-Gap,FOLD,FOLD,FOLD,MIXED_FOLD_RAISE,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,We recommend playing this hand with a mixed strategy from the button. This means that you can sometimes raise to 2.25 big blinds or simply fold when action folds to you. You could either use a randomizer or adjust to the opponents at the table.
160,52s,4,No,No,Yes,2-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
161,54o,12,No,No,No,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
162,53o,12,No,No,No,1-Gap,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
163,52o,12,No,No,No,2-Gaps,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
164,43s,4,Yes,No,Yes,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
165,42s,4,Yes,No,Yes,1-Gap,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
166,43o,12,No,No,No,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
167,42o,12,No,No,No,1-Gap,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
168,32s,4,Yes,No,Yes,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
169,32o,12,No,No,No,Connected,FOLD,FOLD,FOLD,FOLD,This hand is too weak and vulnerable to play from UTG. Fold it!,This hand is too weak and vulnerable to play from HJ. Fold it!,This hand is too weak and vulnerable to play from CO. Fold it!,This hand is too weak and vulnerable to play from the button. Fold it!
